player_name,jersey,position,goals,assists,penalty_minutes,star_of_game,team,game_id
Sarah Nurse,20,F,0,0,0,,adidas,team-harveys-vs-team-adidas
Kelly Gribbons,21,F,1,0,0,,adidas,team-harveys-vs-team-adidas
Jessica DiGirolamo,23,D,0,1,0,,adidas,team-harveys-vs-team-adidas
Kendall Coyne Schofield,26,F,1,0,0,2.0,adidas,team-harveys-vs-team-adidas
Samantha Donovan,32,F,0,2,0,,adidas,team-harveys-vs-team-adidas
Aerin Frankel,33,G,0,0,0,,adidas,team-harveys-vs-team-adidas
Maddie Rooney,35,G,0,0,0,,adidas,team-harveys-vs-team-adidas
Kristin O’Neill,43,F,0,0,0,,adidas,team-harveys-vs-team-adidas
Sarah Potomak,44,F,2,0,0,1.0,adidas,team-harveys-vs-team-adidas
Laura Dostaler,72,F,0,1,0,,adidas,team-harveys-vs-team-adidas
Jocelyne Larocque,3,D,0,0,2,,adidas,team-adidas-vs-team-scotiabank
Laura Stacey,7,F,0,0,0,,adidas,team-adidas-vs-team-scotiabank
Megan Eady,8,D,0,0,0,,adidas,team-adidas-vs-team-scotiabank
Kayla Vespa,10,F,0,0,0,,adidas,team-adidas-vs-team-scotiabank
Jill Saulnier,11,F,0,0,0,,adidas,team-adidas-vs-team-scotiabank
Meaghan Mikkelson,12,D,0,0,0,,adidas,team-adidas-vs-team-scotiabank
Renata Fast,14,D,0,0,2,,adidas,team-adidas-vs-team-scotiabank
Kaitlin Willoughby,17,F,0,0,0,,adidas,team-adidas-vs-team-scotiabank
Halli Krzyzaniak,18,D,0,0,0,,adidas,team-adidas-vs-team-scotiabank
Jincy Dunne,19,D,0,0,2,,adidas,team-adidas-vs-team-scotiabank
Sarah Nurse,20,F,0,0,0,,adidas,team-adidas-vs-team-scotiabank
Kelly Gribbons,21,F,0,0,0,,adidas,team-adidas-vs-team-scotiabank
Jessica DiGirolamo,23,D,0,0,0,,adidas,team-adidas-vs-team-scotiabank
Kendall Coyne Schofield,26,F,0,0,0,,adidas,team-adidas-vs-team-scotiabank
Samantha Donovan,32,F,0,0,0,,adidas,team-adidas-vs-team-scotiabank
Aerin Frankel,33,G,0,0,0,,adidas,team-adidas-vs-team-scotiabank
Maddie Rooney,35,G,0,0,0,,adidas,team-adidas-vs-team-scotiabank
Kristin O’Neill,43,F,0,0,0,,adidas,team-adidas-vs-team-scotiabank
Sarah Potomak,44,F,0,0,2,,adidas,team-adidas-vs-team-scotiabank
Laura Dostaler,72,F,0,0,0,,adidas,team-adidas-vs-team-scotiabank
Megan Keller,5,D,0,0,0,,Scotiabank,team-adidas-vs-team-scotiabank
Rebecca Johnston,6,F,2,2,0,2.0,Scotiabank,team-adidas-vs-team-scotiabank
Nicole Kosta,7,F,0,0,0,,Scotiabank,team-adidas-vs-team-scotiabank
Hayley Lunny,8,F,0,0,0,,Scotiabank,team-adidas-vs-team-scotiabank
Shannon Stewart,10,F,0,0,0,,Scotiabank,team-adidas-vs-team-scotiabank
Tatum Skaggs,11,F,0,0,0,,Scotiabank,team-adidas-vs-team-scotiabank
Kelly Pannek,12,F,0,0,2,,Scotiabank,team-adidas-vs-team-scotiabank
Jaime Bourbonnais,14,D,0,2,0,,Scotiabank,team-adidas-vs-team-scotiabank
Mélodie Daoust,15,F,1,1,0,,Scotiabank,team-adidas-vs-team-scotiabank
Katelyn Gosling,16,D,0,0,2,,Scotiabank,team-adidas-vs-team-scotiabank
Ella Shelton,17,D,2,0,0,3.0,Scotiabank,team-adidas-vs-team-scotiabank
Mélanie Desrochers,18,D,0,0,2,,Scotiabank,team-adidas-vs-team-scotiabank
Madison Field,22,F,0,0,0,,Scotiabank,team-adidas-vs-team-scotiabank
Alex Carpenter,25,F,0,1,0,,Scotiabank,team-adidas-vs-team-scotiabank
Cat Quirion,26,D,0,0,0,,Scotiabank,team-adidas-vs-team-scotiabank
Emerance Maschmeyer,38,G,0,0,0,,Scotiabank,team-adidas-vs-team-scotiabank
Blayre Turnbull,40,F,0,3,4,,Scotiabank,team-adidas-vs-team-scotiabank
Grace Graham,42,F,0,0,0,,Scotiabank,team-adidas-vs-team-scotiabank
Kristen Campbell,50,G,0,0,0,1.0,Scotiabank,team-adidas-vs-team-scotiabank
Victoria Bach,51,F,0,0,0,,Scotiabank,team-adidas-vs-team-scotiabank
Emily Brown,2,D,0,0,0,,Sonnet,team-sonnet-vs-team-harveys
Leah Bohlken,4,D,0,0,0,,Sonnet,team-sonnet-vs-team-harveys
Iya Gavrilova,8,F,0,0,0,,Sonnet,team-sonnet-vs-team-harveys
