team_name,team_id,team_logo
"Harvey's",157,"https://stats.pwhpa.com/wp-content/uploads/2022/10/harveys-icon-150x150.png"
"adidas",130,"https://stats.pwhpa.com/wp-content/uploads/2022/10/adidas-icon-150x150.png"
"Sonnet",182,"https://stats.pwhpa.com/wp-content/uploads/2022/10/sonnet-icon-150x150.png"
"Scotiabank",89,"https://stats.pwhpa.com/wp-content/uploads/2022/10/scotiabank-icon-150x150.png"
